year;ID_Lp;AB_Oc
2000;NA;45
2000;NA;4
2000;NA;37
2000;NA;22
2000;NA;15
2000;7;5
2000;7;224
2000;74;26
2000;NA;18
2000;NA;18
2000;NA;6
2000;NA;11
2000;NA;43
2000;7;0
2000;7;30
2000;74;25
2000;74;46
2000;74;76
2000;74;22
2000;74;18
2000;74;111
2000;74;243
2000;NA;8
2000;NA;26
2000;NA;22
2000;NA;48
2000;NA;105
2000;NA;17
2000;NA;16
2000;NA;24
2000;NA;11
2000;NA;18
2000;NA;45
2000;NA;16
2000;NA;46
2000;NA;11
2000;NA;5
2000;NA;16
2000;NA;58
2000;NA;84
2000;NA;8
2000;NA;13
2000;NA;38
2000;NA;3
2000;NA;10
2000;NA;2
2000;NA;4
2000;NA;5
2000;NA;1
2000;NA;21
2000;NA;15
2000;NA;31
2000;NA;20
2000;NA;12
2000;NA;6
2000;NA;9
2000;74;7
2000;74;13
2000;NA;14
2000;NA;11
2000;74;10
2000;NA;42
2000;NA;30
2000;NA;28
2000;NA;17
2000;NA;7
2000;NA;0
2000;NA;20
2000;NA;21
2000;NA;28
2000;NA;0
2000;NA;15
2000;NA;0
2000;NA;6
2000;74;8
2000;74;34
2000;74;6
2000;74;20
2000;74;61
2000;74;18
2000;74;5
2000;NA;2
2000;NA;35
2000;NA;25
2000;NA;1
2000;74;10
2000;74;47
2000;74;11
2000;74;1
2000;74;11
2000;NA;12
2000;74;48
2000;NA;12
2000;NA;4
2000;74;27
2000;7;68
2000;NA;28
2000;74;94
2000;74;57
2000;74;101
2000;74;10
2000;74;56
2000;74;3
2000;NA;27
2000;NA;2
2000;NA;0
2000;NA;2
2000;NA;10
2000;NA;3
2000;NA;22
2000;NA;15
2000;74;11
2000;74;18
2000;74;8
2000;74;31
2000;NA;4
2000;NA;25
2000;NA;54
2000;NA;14
2000;NA;79
2000;NA;11
2000;NA;41
2000;NA;19
2000;NA;39
2000;NA;7
2000;NA;15
2000;202;15
2000;202;42
2000;202;49
2000;202;16
2000;202;8
2000;202;11
2000;202;1
2000;NA;23
2000;NA;3
2000;NA;0
2000;NA;14
2000;202;113
2000;202;8
2000;18;77
2000;18;10
2000;NA;7
2000;NA;3
2000;NA;3
2000;NA;32
2000;NA;0
2000;NA;0
2000;NA;1
2000;NA;15
2000;NA;4
2000;NA;8
2000;NA;51
2000;NA;3
2000;NA;7
2000;74;40
2000;NA;11
2000;NA;10
2000;NA;33
2000;27;1
2000;NA;296
2000;NA;70
2000;NA;253
2000;NA;7
2000;NA;24
2000;NA;150
2000;NA;1
2000;NA;1
2000;NA;7
2000;NA;536
2000;27;45
2000;27;50
2000;NA;7
2000;NA;20
2000;NA;10
2000;7;14
2000;7;18
2000;74;14
2000;74;119
2000;74;6
2000;74;2
2000;74;97
2000;7;1
2000;7;27
2000;7;18
2000;NA;8
2000;NA;2
2000;NA;16
2000;NA;0
2000;NA;1
2000;NA;49
2000;NA;9
2000;NA;18
2000;NA;4
2000;NA;11
2000;NA;8
2000;NA;1
2000;NA;0
2000;NA;27
2000;NA;1
2000;74;12
2000;74;6
2000;74;13
2000;74;12
2000;NA;4
2000;NA;18
2000;NA;15
2000;NA;79
2000;52;426
2000;7;16
2000;NA;27
2000;NA;18
2000;NA;5
2000;NA;21
2000;74;19
2000;74;40
2000;74;26
2000;74;15
2000;NA;22
2000;NA;14
2000;NA;3
2000;NA;2
2000;NA;12
2000;NA;19
2000;NA;38
2000;NA;39
2000;NA;35
2000;NA;135
2000;NA;55
2000;NA;8
2000;NA;27
2000;NA;1
2000;NA;85
2000;NA;16
2000;NA;34
2000;NA;68
2000;NA;49
2000;NA;11
2000;NA;60
2000;NA;22
2000;NA;38
2000;NA;13
2000;NA;1
2000;NA;0
2000;NA;20
2000;NA;9
2000;NA;56
2000;NA;38
2000;NA;23
2000;NA;26
2000;NA;44
2000;NA;29
2000;NA;16
2000;NA;30
2000;NA;25
2000;NA;26
2000;NA;6
2000;NA;183
2000;NA;39
2000;NA;83
2000;NA;55
2000;NA;343
2000;NA;67
2000;NA;32
2000;NA;79
2000;NA;18
2000;NA;101
2000;NA;129
2000;NA;0
